Date,SKU_number,SoldCount
2019-03-17,2000086,1
2020-04-05,2000142,1
2019-03-06,2000125,3
2020-12-03,2000049,1
2020-02-24,2000125,2
2019-05-03,2000081,2
2020-10-24,2000106,3
2020-03-31,2000128,5
2018-07-09,2000031,2
2020-09-30,2000131,2
2019-08-15,2000000,4
2019-01-29,2000016,3
2019-10-09,2000104,1
2018-06-26,2000076,3
2018-07-05,2000136,3
2019-04-11,2000063,5
2018-02-06,2000064,4
2018-05-21,2000071,2
2019-07-13,2000033,1
2020-03-28,2000141,1
2019-12-13,2000131,2
2019-02-03,2000051,4
2019-10-03,2000085,3
2020-02-19,2000049,4
2018-06-14,2000060,2
2020-03-13,2000058,2
2020-06-22,2000043,4
2019-11-25,2000092,3
2018-05-17,2000040,1
2018-12-30,2000099,2
2018-09-30,2000092,1
2018-01-08,2000065,3
2020-11-10,2000027,2
2020-02-16,2000103,5
2018-09-28,2000022,1
2020-03-13,2000061,6
2018-03-27,2000041,4
2018-03-14,2000028,6
2018-09-07,2000019,5
2019-01-11,2000056,4
2020-10-17,2000066,4
2018-08-20,2000087,7
2019-08-05,2000012,2
2020-08-05,2000057,2
2020-05-11,2000048,3
2020-05-30,2000085,0
2019-03-08,2000045,5
2020-10-13,2000043,2
2019-05-28,2000039,3
2020-10-04,2000006,5
2019-03-08,2000106,2
2019-10-21,2000056,6
2019-11-23,2000137,3
2019-04-17,2000082,1
2018-06-18,2000055,4
2019-07-14,2000121,9
2019-03-01,2000007,3
2020-07-27,2000069,6
2019-04-17,2000047,1
2019-12-25,2000119,5
2019-01-29,2000024,3
2020-09-30,2000124,1
2018-04-17,2000035,3
2018-02-04,2000053,5
2020-07-05,2000144,1
2019-10-24,2000141,3
2020-09-15,2000089,2
2020-08-13,2000061,4
2019-05-09,2000054,6
2018-04-08,2000136,1
2018-08-30,2000135,2
2019-07-09,2000002,4
2020-08-24,2000033,1
2019-07-29,2000104,1
2020-01-12,2000039,3
2018-03-28,2000030,4
2018-02-14,2000135,5
2020-08-24,2000129,2
2020-07-19,2000004,2
2018-04-05,2000006,2
2020-03-31,2000086,4
2019-05-09,2000145,1
2020-06-14,2000131,1
2020-03-01,2000148,4
2019-07-01,2000080,2
2018-01-27,2000019,3
2018-09-11,2000114,4
2018-09-17,2000085,1
2020-05-20,2000127,5
2019-12-21,2000041,0
2018-06-06,2000030,2
2018-12-31,2000060,0
2020-02-16,2000142,2
2020-03-19,2000101,5
2018-02-23,2000110,4
2018-06-13,2000023,1
2020-10-08,2000119,2
2020-09-06,2000043,5
2018-04-30,2000084,7
2019-05-12,2000026,0
2020-10-10,2000097,3
2018-03-26,2000126,4
2019-12-22,2000118,1
2019-05-20,2000065,1
2020-09-22,2000034,0
2019-03-18,2000066,4
2018-02-15,2000059,1
2019-08-06,2000080,2
2019-04-05,2000022,1
2019-09-17,2000053,1
2019-01-16,2000051,3
2018-07-06,2000118,4
2020-08-16,2000028,1
2019-09-21,2000016,4
2018-08-12,2000071,1
2018-05-27,2000119,2
2019-04-09,2000085,3
2019-05-05,2000100,0
2019-10-26,2000009,2
2019-07-07,2000127,3
2018-06-12,2000063,3
2018-06-14,2000039,1
2019-12-29,2000072,4
2020-12-15,2000119,6
2018-04-25,2000114,1
2018-12-19,2000091,4
2018-01-28,2000099,3
2020-06-25,2000009,5
2018-02-26,2000134,2
2018-10-19,2000015,6
2018-11-19,2000060,5
2020-01-22,2000129,8
2020-06-29,2000046,5
2018-12-20,2000133,8
2018-11-21,2000087,3
2019-02-11,2000018,2
2018-07-30,2000031,4
2019-03-25,2000047,5
2018-08-20,2000031,4
2018-04-10,2000010,2
2019-05-09,2000058,1
2018-08-14,2000049,0
2019-09-08,2000000,7
2019-09-21,2000100,4
2019-03-29,2000121,2
2020-08-28,2000087,2
2020-11-18,2000035,2
2019-10-04,2000095,2
2019-08-25,2000123,4
2020-11-16,2000058,1
2018-02-01,2000019,2
2020-01-04,2000069,4
2018-04-18,2000084,0
2018-03-04,2000113,5
2018-12-15,2000028,5
2020-11-18,2000100,5
2019-05-12,2000031,4
2020-03-09,2000131,1
2020-01-08,2000071,3
2020-02-16,2000087,3
2019-06-25,2000079,4
2020-01-29,2000105,7
2018-05-16,2000109,5
2019-09-20,2000088,1
2018-10-15,2000010,9
2020-03-05,2000125,3
2020-08-26,2000088,2
2019-01-21,2000128,0
2018-01-11,2000038,3
2018-08-08,2000007,2
2020-12-05,2000009,0
2020-01-23,2000061,6
2018-12-03,2000115,1
2019-08-16,2000091,1
2019-05-03,2000118,2
2020-10-10,2000067,2
2018-12-22,2000054,2
2019-05-31,2000069,2
2018-05-26,2000057,6
2020-10-08,2000048,0
2020-08-04,2000041,4
2020-07-11,2000090,0
2018-07-07,2000031,1
2019-02-09,2000021,4
2019-02-25,2000131,1
2019-07-06,2000103,5
2020-01-14,2000140,3
2020-11-22,2000075,2
2020-09-12,2000081,3
2019-06-11,2000081,4
2018-09-18,2000081,3
2020-11-13,2000005,3
2019-02-06,2000080,6
2019-02-26,2000072,2
2020-11-03,2000055,4
2018-12-15,2000138,7
2018-11-17,2000020,10
2019-09-20,2000079,5
2019-11-01,2000147,3
2019-12-03,2000019,2
2018-07-19,2000117,3
2019-08-24,2000117,4
2019-01-28,2000009,2
2020-08-08,2000140,4
2020-07-31,2000002,2
2018-08-16,2000094,3
2018-05-18,2000146,0
2020-06-06,2000021,1
2020-03-14,2000055,3
2018-05-18,2000031,1
2019-09-28,2000129,3
2020-05-25,2000118,1
2020-09-21,2000112,4
2018-11-13,2000103,5
2019-06-16,2000130,6
2020-01-24,2000086,2
2019-08-03,2000039,2
2019-11-07,2000089,3
2018-02-13,2000064,1
2020-06-30,2000024,3
2019-06-15,2000066,0
2020-01-11,2000008,0
2020-12-21,2000133,2
2019-11-02,2000052,2
2020-01-01,2000137,3
2019-04-16,2000078,3
2018-09-21,2000062,5
2018-11-21,2000109,7
2020-03-06,2000118,2
2020-04-17,2000024,2
2019-04-17,2000125,5
2018-04-24,2000000,1
2019-07-03,2000099,2
2019-05-25,2000131,1
2019-12-31,2000147,0
2018-02-17,2000052,7
2020-08-25,2000050,3
2019-06-19,2000035,3
2020-02-07,2000016,6
2020-04-24,2000073,3
2018-11-04,2000098,2
2019-06-08,2000019,1
2019-12-06,2000054,6
2019-08-21,2000060,6
2018-11-08,2000141,1
2019-09-12,2000012,2
2019-06-18,2000073,2
2018-01-03,2000128,1
2018-11-30,2000065,1
2020-03-28,2000010,5
2020-11-16,2000032,4
2020-09-13,2000091,3
2018-09-08,2000147,3
2019-09-09,2000142,2
2020-01-05,2000001,2
2019-05-13,2000046,5
2019-10-02,2000131,0
2020-11-26,2000117,4
2018-07-08,2000094,1
2020-04-14,2000098,3
2019-08-11,2000047,2
2020-12-25,2000023,5
2020-04-26,2000076,1
2018-03-08,2000125,2
2018-07-21,2000081,3
2020-07-26,2000119,2
2020-03-19,2000135,1
2020-08-02,2000146,7
2019-08-27,2000073,1
2019-06-24,2000125,2
2020-03-25,2000077,5
2019-07-20,2000125,4
2018-09-16,2000037,3
2019-11-24,2000124,3
2020-08-08,2000022,1
2020-09-13,2000041,4
2019-08-25,2000092,1
2019-10-18,2000054,1
2018-03-30,2000025,3
2019-10-02,2000079,6
2018-04-25,2000043,2
2019-12-04,2000130,2
2020-08-06,2000118,4
2018-01-03,2000120,4
2019-01-28,2000052,0
2020-01-30,2000138,4
2018-09-25,2000037,4
2020-04-13,2000147,2
2020-07-29,2000106,4
2019-04-21,2000074,6
2018-01-10,2000029,1
2020-11-21,2000096,2
2018-12-16,2000101,3
2019-02-23,2000105,3
2020-12-09,2000006,3
2018-06-28,2000016,4
2019-09-26,2000029,0
2018-04-30,2000143,4
2018-11-28,2000147,3
2018-11-11,2000082,0
2019-10-20,2000099,1
2020-12-01,2000068,5
2019-04-12,2000042,3
2018-01-30,2000047,1
2018-02-26,2000104,4
2020-08-30,2000101,1
2020-08-03,2000057,3
2019-03-13,2000115,2
2019-08-08,2000066,3
2019-10-25,2000057,3
2019-08-20,2000124,2
2020-07-09,2000142,0
2020-07-11,2000108,1
2018-05-02,2000008,8
2019-01-18,2000069,4
2018-10-22,2000017,6
2019-10-14,2000062,5
2019-03-06,2000086,5
2018-05-29,2000082,1
2019-01-04,2000120,3
2018-11-26,2000060,5
2018-05-15,2000008,3
2019-05-25,2000142,4
2019-09-21,2000123,2
2020-09-28,2000094,2
2018-04-19,2000119,3
2019-09-17,2000058,4
2018-02-26,2000013,2
2019-06-07,2000063,4
2020-06-26,2000061,4
2019-05-09,2000021,10
2018-11-17,2000107,4
2018-01-15,2000056,5
2018-11-28,2000052,4
2018-06-04,2000040,4
2020-03-20,2000074,1
2018-10-30,2000125,1
2020-08-24,2000130,3
2019-01-08,2000061,5
2020-09-30,2000140,2
2019-12-22,2000002,2
2020-09-12,2000068,1
2018-04-06,2000033,3
2020-04-24,2000136,3
2020-02-25,2000080,6
2019-06-29,2000050,3
2019-12-28,2000146,2
2018-01-25,2000138,5
2018-03-26,2000106,2
2018-04-09,2000081,3
2020-09-08,2000133,2
2020-08-01,2000043,4
2018-02-06,2000056,2
2018-01-18,2000014,5
2018-02-28,2000119,4
2019-09-21,2000038,4
2018-06-21,2000102,4
2019-01-26,2000050,2
2020-12-03,2000142,2
2020-12-04,2000030,4
2018-06-24,2000017,2
2020-01-15,2000010,5
2018-06-11,2000111,4
2018-08-23,2000090,3
2019-10-27,2000018,1
2020-01-09,2000060,4
2018-05-25,2000139,2
2018-03-28,2000027,3
2019-02-25,2000124,3
2018-11-20,2000067,1
2019-07-21,2000046,2
2018-11-21,2000100,3
2018-09-04,2000024,3
2020-09-02,2000010,4
2019-07-28,2000053,3
