SKU_number,MAE,RMSE,MAPE,Order
P0001,0.26275050937463923,0.42114595191681115,404.0106772438065,"(1, 1, 1)"
P0002,0.27999745960029515,0.38259800254781834,545.5373184411733,"(1, 1, 1)"
P0003,0.2954771567677233,0.429803439390624,8822.677869367642,"(1, 1, 1)"
P0004,0.33991773817732635,0.45703846025550543,701.6131068635475,"(1, 1, 1)"
P0005,0.24034549329070298,0.4152144073505344,310.055090664121,"(1, 1, 1)"
P0006,0.23820559945446249,0.3945926751906709,131.43390839998673,"(1, 1, 1)"
P0007,0.2572215237253845,0.41450710332681817,829.0349766659245,"(1, 1, 1)"
P0008,0.27981932868704823,0.40591084176359477,669.644170045259,"(1, 1, 1)"
P0009,0.30430998662832637,0.4496789989035589,363.2017175921521,"(1, 1, 1)"
P0010,0.30542525825808337,0.4117574875454478,265.3023609422108,"(1, 1, 1)"
P0011,0.33605783110034576,0.5196943911892499,842.1223771070721,"(1, 1, 1)"
P0012,0.27650982873078084,0.441198214673838,167.89460621228756,"(1, 1, 1)"
P0013,0.32645303917499885,0.4922917487981145,420.98104769590765,"(1, 1, 1)"
P0014,0.20518374762440852,0.21095716376992638,21.014498994408534,"(1, 1, 1)"
P0015,0.2208173847716841,0.3870003116444928,241.41305448853402,"(1, 1, 1)"
P0016,0.317347499367402,0.44857098931624223,777.5204789143424,"(1, 1, 1)"
P0017,0.3812664891225439,0.47375791780943766,699.8764261702114,"(1, 1, 1)"
P0018,0.339383625086181,0.4450321657467058,362.4027899121776,"(1, 1, 1)"
P0019,0.17876337211842785,0.2171137468618287,15.17379181374572,"(1, 1, 1)"
P0020,0.20369965361959555,0.2692323352581303,18.57838742868665,"(1, 1, 1)"
