SKU_number,MAE,RMSE,MAPE,Order
2000000,12.388888888888895,14.403896077874982,31.283693828150525,"(0, 0, 0)"
2000001,10.377777777777775,13.89488315092206,22.889999357890026,"(0, 0, 0)"
2000002,11.093924741853636,14.134016779453116,27.55467749840314,"(3, 0, 0)"
2000003,11.033333333333331,14.104727339914563,31.901795017523916,"(0, 0, 0)"
2000004,10.577777777777763,11.846049505589981,34.08989364544915,"(0, 0, 0)"
2000005,11.0,12.665964892840442,40.21865094468328,"(0, 0, 0)"
2000006,7.022222222222221,7.966875868940792,19.83926267330958,"(0, 0, 0)"
2000007,14.26666666666666,17.08283739117519,53.19056591795833,"(0, 0, 0)"
2000008,18.522222222222222,22.68697619536127,46.67906299641649,"(0, 0, 0)"
2000009,8.199999999999994,10.314014198598372,26.81181510205376,"(0, 0, 0)"
2000010,10.333333333333334,13.9860644929158,23.418060756740253,"(0, 0, 0)"
2000011,12.366666666666665,13.75778567454322,49.4030716649251,"(0, 0, 0)"
2000012,9.65661583722851,11.293519401808657,26.14581266625537,"(1, 0, 2)"
2000013,14.196698375184141,15.679675066697893,58.5407130142647,"(0, 0, 1)"
2000014,13.046460675777672,18.583482854574523,75.00673960153318,"(1, 0, 0)"
2000015,6.4775134965819205,7.2129568533430986,15.00724088482073,"(0, 0, 2)"
2000016,10.144444444444439,11.21254258012477,23.84002888837623,"(0, 0, 0)"
2000017,6.0,7.928079492818196,18.869775506680263,"(0, 0, 0)"
2000018,12.133568032960278,14.47723969831371,52.765225586341266,"(1, 0, 0)"
2000019,8.699999999999994,10.742904635153371,32.67502006922717,"(0, 0, 0)"
2000020,5.177777777777777,5.792811637423287,11.959557818399226,"(0, 0, 0)"
2000021,15.766666666666666,18.013235874397097,66.14315581287124,"(0, 0, 0)"
2000022,8.477777777777774,10.031118249394396,26.281041337596378,"(0, 0, 0)"
2000023,17.355555555555558,20.479501947068936,30.49621164009868,"(0, 0, 0)"
2000024,12.377777777777771,13.258498322878712,39.166410285285515,"(0, 0, 0)"
2000025,13.862785579498036,16.87846531624508,64.4674814596638,"(0, 0, 1)"
2000026,10.12222222222222,11.452753186703864,32.3261666014934,"(0, 0, 0)"
2000027,18.65393052142584,21.063631077637684,56.62214633075624,"(1, 0, 1)"
2000028,10.533333333333339,14.542237333597155,17.983994156291903,"(0, 0, 0)"
2000029,17.77254795380816,25.16335861933487,47.4740974568767,"(2, 0, 1)"
2000030,14.866666666666665,17.158379876899797,53.22608919189565,"(0, 0, 0)"
2000031,12.563850529387347,14.923365396583439,25.820662356628976,"(1, 0, 0)"
2000032,8.400000000000006,10.163332786706013,22.120870461296,"(0, 0, 0)"
2000033,10.977777777777773,13.416573498641302,40.898736316960154,"(0, 0, 0)"
2000034,7.066666666666663,9.12925699787958,23.129485098235083,"(0, 0, 0)"
2000035,10.777777777777777,12.364824660660934,40.43592655917585,"(0, 0, 0)"
