inventory_id,product_id,created_at,soldCount
1,P0001,2022-01-01,127
2,P0004,2022-01-01,61
3,P0008,2022-01-01,312
4,P0015,2022-01-01,369
5,P0016,2022-01-01,255
6,P0006,2022-01-01,250
7,P0010,2022-01-01,126
8,P0018,2022-01-01,160
9,P0006,2022-01-01,163
10,P0007,2022-01-01,34
11,P0008,2022-01-01,47
12,P0012,2022-01-01,175
13,P0013,2022-01-01,17
14,P0020,2022-01-01,370
15,P0002,2022-01-01,180
16,P0005,2022-01-01,200
17,P0009,2022-01-01,40
18,P0012,2022-01-01,9
19,P0003,2022-01-01,64
20,P0006,2022-01-01,176
21,P0007,2022-01-02,56
22,P0010,2022-01-02,39
23,P0013,2022-01-02,31
24,P0018,2022-01-02,42
25,P0020,2022-01-02,174
26,P0005,2022-01-02,64
27,P0007,2022-01-02,247
28,P0008,2022-01-02,42
29,P0009,2022-01-02,197
30,P0012,2022-01-02,236
31,P0013,2022-01-02,278
32,P0015,2022-01-02,106
33,P0014,2022-01-02,368
34,P0019,2022-01-02,50
35,P0001,2022-01-02,22
36,P0015,2022-01-02,90
37,P0019,2022-01-02,67
38,P0020,2022-01-02,84
39,P0004,2022-01-02,56
40,P0006,2022-01-02,54
41,P0017,2022-01-02,377
42,P0015,2022-01-03,228
43,P0017,2022-01-03,16
44,P0020,2022-01-03,118
45,P0001,2022-01-03,96
46,P0002,2022-01-03,48
47,P0004,2022-01-03,11
48,P0006,2022-01-03,352
49,P0011,2022-01-03,143
50,P0019,2022-01-03,55
51,P0001,2022-01-03,100
52,P0002,2022-01-03,353
53,P0006,2022-01-03,342
54,P0005,2022-01-03,15
55,P0006,2022-01-03,36
56,P0012,2022-01-03,192
57,P0017,2022-01-03,33
58,P0019,2022-01-03,1
59,P0001,2022-01-03,3
60,P0002,2022-01-03,59
61,P0005,2022-01-03,66
62,P0010,2022-01-03,74
63,P0011,2022-01-03,40
64,P0012,2022-01-03,72
65,P0014,2022-01-03,263
66,P0016,2022-01-03,17
67,P0018,2022-01-03,36
68,P0019,2022-01-03,207
69,P0002,2022-01-04,91
70,P0004,2022-01-04,0
71,P0007,2022-01-04,341
72,P0009,2022-01-04,15
73,P0013,2022-01-04,31
74,P0016,2022-01-04,28
75,P0020,2022-01-04,49
76,P0001,2022-01-04,83
77,P0003,2022-01-04,448
78,P0007,2022-01-04,121
79,P0011,2022-01-04,48
80,P0012,2022-01-04,61
81,P0015,2022-01-04,91
82,P0003,2022-01-04,34
83,P0005,2022-01-04,2
84,P0007,2022-01-04,76
85,P0012,2022-01-04,5
86,P0018,2022-01-04,309
87,P0019,2022-01-04,32
88,P0002,2022-01-04,150
89,P0005,2022-01-04,241
90,P0010,2022-01-04,265
91,P0012,2022-01-04,153
92,P0001,2022-01-04,195
93,P0007,2022-01-04,147
94,P0010,2022-01-04,172
95,P0013,2022-01-04,75
96,P0016,2022-01-04,200
97,P0017,2022-01-04,256
98,P0019,2022-01-04,244
99,P0004,2022-01-05,29
100,P0006,2022-01-05,158
101,P0011,2022-01-05,44
102,P0014,2022-01-05,161
103,P0002,2022-01-05,101
104,P0003,2022-01-05,263
105,P0004,2022-01-05,32
106,P0016,2022-01-05,30
107,P0020,2022-01-05,192
108,P0001,2022-01-05,198
109,P0002,2022-01-05,83
110,P0003,2022-01-05,97
111,P0004,2022-01-05,173
112,P0007,2022-01-05,246
113,P0009,2022-01-05,325
114,P0014,2022-01-05,225
115,P0016,2022-01-05,324
116,P0004,2022-01-05,135
117,P0008,2022-01-05,74
118,P0010,2022-01-05,342
119,P0014,2022-01-05,322
120,P0012,2022-01-06,1
121,P0020,2022-01-06,2
122,P0002,2022-01-06,23
123,P0007,2022-01-06,255
124,P0014,2022-01-06,240
125,P0018,2022-01-06,57
126,P0019,2022-01-06,283
127,P0004,2022-01-06,211
128,P0010,2022-01-06,18
129,P0015,2022-01-06,476
130,P0016,2022-01-06,316
131,P0018,2022-01-06,51
132,P0019,2022-01-06,37
133,P0004,2022-01-06,50
134,P0006,2022-01-06,260
135,P0007,2022-01-06,80
136,P0009,2022-01-06,166
137,P0010,2022-01-06,49
138,P0012,2022-01-06,73
139,P0019,2022-01-06,149
140,P0001,2022-01-07,107
141,P0002,2022-01-07,115
142,P0003,2022-01-07,32
143,P0007,2022-01-07,429
144,P0011,2022-01-07,102
145,P0013,2022-01-07,71
146,P0006,2022-01-07,68
147,P0008,2022-01-07,46
148,P0019,2022-01-07,122
149,P0001,2022-01-07,39
150,P0004,2022-01-07,8
151,P0010,2022-01-07,63
152,P0017,2022-01-07,12
153,P0002,2022-01-07,46
154,P0003,2022-01-07,49
155,P0005,2022-01-07,108
156,P0007,2022-01-07,83
157,P0011,2022-01-07,80
158,P0013,2022-01-07,188
159,P0016,2022-01-07,139
160,P0018,2022-01-07,70
161,P0019,2022-01-07,12
162,P0020,2022-01-07,162
163,P0007,2022-01-07,246
164,P0008,2022-01-07,139
165,P0013,2022-01-07,88
166,P0016,2022-01-07,111
167,P0004,2022-01-08,79
168,P0007,2022-01-08,172
169,P0008,2022-01-08,58
170,P0010,2022-01-08,186
171,P0012,2022-01-08,229
172,P0017,2022-01-08,248
173,P0001,2022-01-08,341
174,P0002,2022-01-08,134
175,P0012,2022-01-08,13
176,P0013,2022-01-08,91
177,P0003,2022-01-08,12
178,P0017,2022-01-08,85
179,P0003,2022-01-08,214
180,P0006,2022-01-08,69
181,P0007,2022-01-08,97
182,P0008,2022-01-08,161
183,P0009,2022-01-08,97
184,P0010,2022-01-08,170
185,P0015,2022-01-08,135
186,P0016,2022-01-08,163
187,P0001,2022-01-08,53
188,P0006,2022-01-08,223
189,P0011,2022-01-08,40
190,P0002,2022-01-09,9
191,P0005,2022-01-09,343
192,P0006,2022-01-09,45
193,P0011,2022-01-09,106
194,P0013,2022-01-09,85
195,P0017,2022-01-09,418
196,P0018,2022-01-09,316
197,P0020,2022-01-09,55
198,P0002,2022-01-09,29
199,P0003,2022-01-09,50
200,P0009,2022-01-09,252
201,P0014,2022-01-09,87
202,P0016,2022-01-09,178
203,P0002,2022-01-09,337
204,P0007,2022-01-09,21
205,P0017,2022-01-09,312
206,P0018,2022-01-09,169
207,P0020,2022-01-09,225
208,P0002,2022-01-09,74
209,P0004,2022-01-09,117
210,P0009,2022-01-09,250
211,P0010,2022-01-09,57
212,P0015,2022-01-09,14
213,P0016,2022-01-09,85
214,P0005,2022-01-09,101
215,P0008,2022-01-09,123
216,P0013,2022-01-09,253
217,P0016,2022-01-09,222
218,P0017,2022-01-09,200
219,P0018,2022-01-09,113
220,P0009,2022-01-10,138
221,P0011,2022-01-10,88
222,P0013,2022-01-10,284
223,P0016,2022-01-10,80
224,P0019,2022-01-10,65
225,P0020,2022-01-10,221
226,P0004,2022-01-10,54
227,P0018,2022-01-10,22
228,P0003,2022-01-10,7
229,P0007,2022-01-10,120
230,P0009,2022-01-10,335
231,P0010,2022-01-10,158
232,P0011,2022-01-10,91
233,P0018,2022-01-10,369
234,P0005,2022-01-10,27
235,P0006,2022-01-10,102
236,P0008,2022-01-10,135
237,P0011,2022-01-10,110
238,P0018,2022-01-10,35
239,P0002,2022-01-10,211
240,P0004,2022-01-10,40
241,P0008,2022-01-10,94
242,P0009,2022-01-10,177
243,P0011,2022-01-10,46
244,P0014,2022-01-10,21
245,P0002,2022-01-11,124
246,P0013,2022-01-11,213
247,P0015,2022-01-11,38
248,P0016,2022-01-11,302
249,P0003,2022-01-11,67
250,P0006,2022-01-11,277
251,P0008,2022-01-11,22
